# target name	accession	tlen	query name	accession	qlen	E-value	score	bias	#	of	c-Evalue	i-Evalue	score	bias	from	to	from	to	from	to	acc
GVMAG-S-1096109-37|1096109_contig_156_5	-	315	OG295	-	269	1.21e-11	37.9	2.8	2	2	5.76e-07	1.08e-04	15.1	0.0	188	236	258	306	256	312	0.90
GVMAG-S-1096109-37|1096109_contig_370_11	-	409	OG299	-	241	4.02e-04	13.3	0.2	1	1	3.63e-06	6.83e-04	12.5	0.2	82	169	39	128	26	179	0.90
GVMAG-S-1096109-37|1096109_contig_802_10	-	1000	OG3084	-	155	4.23e-03	10.7	12.2	1	2	1.23e-01	2.31e+01	-1.5	0.2	2	156	8	79	8	79	0.90
GVMAG-S-1096109-37|1096109_contig_802_10	-	250	OG3084	-	155	4.23e-03	10.7	12.2	2	2	1.98e-06	3.73e-04	14.1	7.2	8	50	140	181	101	230	0.90
GVMAG-S-1096109-37|1096109_contig_575_9	-	212	OG30	-	209	5.13e-16	52.4	0.0	1	2	1.58e-02	2.98e+00	0.9	0.0	107	124	2	19	2	40	0.90
GVMAG-S-1096109-37|1096109_contig_575_9	-	212	OG30	-	209	5.13e-16	52.4	0.0	2	2	2.42e-17	4.55e-15	49.3	0.0	99	199	102	200	94	207	0.90
GVMAG-S-1096109-37|1096109_contig_460_15	-	142	OG310	-	162	4.44e-17	56.2	0.5	1	1	3.36e-19	6.33e-17	55.7	0.5	5	115	10	124	8	129	0.90
GVMAG-S-1096109-37|1096109_contig_156_6	-	429	OG314	-	696	8.24e-05	14.6	0.8	1	2	4.38e-07	8.24e-05	14.6	0.8	38	124	82	166	54	198	0.90
GVMAG-S-1096109-37|1096109_contig_156_6	-	429	OG314	-	696	8.24e-05	14.6	0.8	2	2	8.99e-03	1.69e+00	0.3	0.1	241	277	286	322	243	350	0.90
GVMAG-S-1096109-37|1096109_contig_1169_1	-	342	OG3263	-	737	4.49e-33	107.9	0.0	1	2	8.74e-25	5.48e-23	74.5	0.2	24	163	4	138	2	156	0.90
GVMAG-S-1096109-37|1096109_contig_1169_1	-	342	OG3263	-	737	4.49e-33	107.9	0.0	2	2	6.54e-12	4.10e-10	32.0	0.0	214	367	157	294	133	330	0.90
GVMAG-S-1096109-37|1096109_contig_156_6	-	429	OG3263	-	737	9.47e-05	14.2	1.8	1	2	1.38e-04	8.66e-03	7.7	0.2	130	156	122	149	86	156	0.90
GVMAG-S-1096109-37|1096109_contig_156_6	-	429	OG3263	-	737	9.47e-05	14.2	1.8	2	2	5.31e-04	3.33e-02	5.8	0.1	621	714	298	380	269	382	0.90
GVMAG-S-1096109-37|1096109_contig_370_5	-	175	OG3263	-	737	1.52e-03	10.2	1.9	1	1	3.30e-05	2.07e-03	9.8	1.9	470	534	85	141	77	143	0.90
GVMAG-S-1096109-37|1096109_contig_155_7	-	224	OG3465	-	244	4.99e-13	42.9	7.7	1	1	1.03e-14	1.94e-12	40.9	7.7	70	223	51	214	4	220	0.90
GVMAG-S-1096109-37|1096109_contig_460_17	-	328	OG3477	-	323	1.37e-09	31.1	2.4	1	2	7.37e-09	3.46e-07	23.2	0.2	69	130	52	107	39	178	0.90
GVMAG-S-1096109-37|1096109_contig_460_17	-	328	OG3477	-	323	1.37e-09	31.1	2.4	2	2	3.57e-04	1.68e-02	7.8	0.1	224	299	208	298	202	321	0.90
GVMAG-S-1096109-37|1096109_contig_575_11	-	533	OG3477	-	323	4.34e-04	13.1	0.0	1	2	4.09e-01	1.92e+01	-2.2	0.0	262	291	154	183	150	202	0.90
GVMAG-S-1096109-37|1096109_contig_575_11	-	533	OG3477	-	323	4.34e-04	13.1	0.0	2	2	2.92e-05	1.37e-03	11.4	0.0	81	129	351	400	344	441	0.90
GVMAG-S-1096109-37|1096109_contig_155_22	-	577	OG3477	-	323	4.68e-04	12.9	0.3	1	1	1.76e-05	8.27e-04	12.1	0.3	106	135	179	208	165	216	0.90
GVMAG-S-1096109-37|1096109_contig_155_2	-	259	OG3477	-	323	8.40e-04	12.1	0.4	1	1	2.98e-05	1.40e-03	11.4	0.4	108	127	33	52	19	63	0.90
GVMAG-S-1096109-37|1096109_contig_155_10	-	185	OG3490	-	183	5.03e-24	78.5	8.6	1	2	6.07e-24	5.70e-22	71.8	2.0	6	113	12	113	8	119	0.90
GVMAG-S-1096109-37|1096109_contig_155_10	-	185	OG3490	-	183	5.03e-24	78.5	8.6	2	2	2.30e-05	2.16e-03	11.3	0.9	153	179	115	141	110	148	0.90
GVMAG-S-1096109-37|1096109_contig_155_19	-	131	OG3490	-	183	1.26e-12	41.4	0.3	1	1	1.66e-14	1.56e-12	41.1	0.3	19	108	45	126	32	131	0.90
GVMAG-S-1096109-37|1096109_contig_156_5	-	315	OG34	-	345	1.14e-12	40.6	5.7	1	2	1.54e-06	2.89e-04	13.0	0.0	27	67	7	47	2	66	0.90
GVMAG-S-1096109-37|1096109_contig_156_5	-	315	OG34	-	345	1.14e-12	40.6	5.7	2	2	1.95e-10	3.66e-08	25.8	4.6	142	316	97	301	81	313	0.90
GVMAG-S-1096109-37|1096109_contig_460_1	-	582	OG3587	-	502	4.24e-15	48.7	0.0	1	3	7.57e-12	1.42e-09	30.5	0.0	90	186	58	167	53	183	0.90
GVMAG-S-1096109-37|1096109_contig_460_1	-	582	OG3587	-	502	4.24e-15	48.7	0.0	2	3	1.81e-06	3.40e-04	12.8	0.0	225	264	185	224	177	244	0.90
GVMAG-S-1096109-37|1096109_contig_460_1	-	582	OG3587	-	502	4.24e-15	48.7	0.0	3	3	4.51e-03	8.49e-01	1.6	0.2	396	480	411	495	388	501	0.90
GVMAG-S-1096109-37|1096109_contig_460_17	-	328	OG36	-	316	6.03e-05	15.9	3.1	1	2	4.05e-04	3.81e-02	6.7	0.1	27	60	76	109	34	123	0.90
GVMAG-S-1096109-37|1096109_contig_460_17	-	328	OG36	-	316	6.03e-05	15.9	3.1	2	2	4.72e-05	4.44e-03	9.7	0.3	141	201	205	265	174	315	0.90
GVMAG-S-1096109-37|1096109_contig_155_22	-	577	OG36	-	316	5.94e-04	12.6	0.1	1	1	1.44e-05	1.36e-03	11.4	0.1	34	62	179	207	166	226	0.90
GVMAG-S-1096109-37|1096109_contig_155_4	-	143	OG3700	-	203	2.51e-08	27.3	0.7	1	2	1.50e-01	2.82e+01	-2.3	0.1	91	110	40	59	16	68	0.90
GVMAG-S-1096109-37|1096109_contig_155_4	-	143	OG3700	-	203	2.51e-08	27.3	0.7	2	2	1.96e-10	3.68e-08	26.7	0.0	166	203	104	141	96	142	0.90
GVMAG-S-1096109-37|1096109_contig_155_2	-	259	OG372	-	354	4.06e-04	12.9	0.0	1	1	3.77e-06	7.08e-04	12.1	0.0	21	51	28	59	6	64	0.90
GVMAG-S-1096109-37|1096109_contig_153_1	-	140	OG375	-	186	3.11e-49	161.2	0.2	1	1	1.82e-51	3.42e-49	161.1	0.2	2	147	2	140	2	141	0.90
GVMAG-S-1096109-37|1096109_contig_580_3	-	237	OG387	-	138	9.26e-06	19.2	0.3	1	2	3.72e-06	6.99e-04	13.1	0.1	16	55	39	78	27	79	0.90
GVMAG-S-1096109-37|1096109_contig_580_3	-	237	OG387	-	138	9.26e-06	19.2	0.3	2	2	2.47e-03	4.64e-01	4.0	0.0	15	54	194	229	181	232	0.90
GVMAG-S-1096109-37|1096109_contig_1169_10	-	265	OG389	-	174	9.50e-21	67.9	4.5	1	2	4.56e-06	4.29e-04	13.7	0.6	2	25	86	109	86	120	0.90
GVMAG-S-1096109-37|1096109_contig_1169_10	-	265	OG389	-	174	9.50e-21	67.9	4.5	2	2	6.78e-19	6.37e-17	55.5	0.1	26	107	156	241	144	264	0.90
GVMAG-S-1096109-37|1096109_contig_156_19	-	272	OG389	-	174	1.96e-20	66.9	8.9	1	2	1.37e-06	1.29e-04	15.4	4.1	4	25	92	113	78	148	0.90
GVMAG-S-1096109-37|1096109_contig_156_19	-	272	OG389	-	174	1.96e-20	66.9	8.9	2	2	1.83e-18	1.72e-16	54.0	0.2	28	117	162	255	154	269	0.90
GVMAG-S-1096109-37|1096109_contig_460_3	-	204	OG40	-	146	1.26e-04	15.4	1.7	1	1	1.28e-06	2.41e-04	14.5	1.7	56	127	10	74	7	89	0.90
GVMAG-S-1096109-37|1096109_contig_156_5	-	315	OG41908	-	578	3.56e-08	25.8	1.7	1	1	2.99e-10	5.63e-08	25.2	1.7	77	177	86	184	49	203	0.90
GVMAG-S-1096109-37|1096109_contig_155_16	-	171	OG426	-	94	2.65e-04	14.5	0.8	1	2	4.02e-01	7.56e+01	-3.0	0.1	7	17	10	20	5	28	0.90
GVMAG-S-1096109-37|1096109_contig_155_16	-	171	OG426	-	94	2.65e-04	14.5	0.8	2	2	5.64e-06	1.06e-03	12.6	0.1	8	57	64	111	56	160	0.90
GVMAG-S-1096109-37|1096109_contig_460_2	-	368	OG436	-	319	5.84e-05	15.9	1.7	1	1	5.73e-07	1.08e-04	15.0	0.9	22	54	131	163	114	173	0.90
GVMAG-S-1096109-37|1096109_contig_1169_10	-	265	OG4379	-	277	2.05e-25	83.5	0.5	1	2	4.45e-08	4.18e-06	20.1	0.2	16	86	36	110	26	120	0.90
GVMAG-S-1096109-37|1096109_contig_1169_10	-	265	OG4379	-	277	2.05e-25	83.5	0.5	2	2	9.67e-21	9.09e-19	61.7	0.0	85	164	155	236	153	244	0.90
GVMAG-S-1096109-37|1096109_contig_156_19	-	272	OG4379	-	277	2.64e-21	70.0	4.5	1	2	3.12e-08	2.93e-06	20.6	1.2	36	87	65	115	40	125	0.90
GVMAG-S-1096109-37|1096109_contig_156_19	-	272	OG4379	-	277	2.64e-21	70.0	4.5	2	2	2.24e-17	2.10e-15	50.6	0.1	85	166	159	244	153	248	0.90
GVMAG-S-1096109-37|1096109_contig_460_2	-	368	OG448	-	365	4.01e-138	453.9	27.8	1	1	2.38e-140	4.48e-138	453.7	27.8	3	366	4	368	2	368	0.90
GVMAG-S-1096109-37|1096109_contig_153_9	-	184	OG482	-	172	2.33e-66	216.2	0.9	1	1	5.88e-68	2.76e-66	215.9	0.9	3	171	4	182	3	184	0.90
GVMAG-S-1096109-37|1096109_contig_156_23	-	131	OG482	-	172	7.35e-06	19.2	0.1	1	1	2.26e-07	1.06e-05	18.7	0.1	26	105	26	106	15	129	0.90
GVMAG-S-1096109-37|1096109_contig_156_3	-	223	OG482	-	172	4.99e-05	16.5	0.2	1	1	1.57e-06	7.39e-05	16.0	0.2	34	132	5	94	2	134	0.90
GVMAG-S-1096109-37|1096109_contig_1169_6	-	128	OG482	-	172	4.21e-04	13.5	0.0	1	1	1.24e-05	5.83e-04	13.1	0.0	36	130	32	123	6	127	0.90
GVMAG-S-1096109-37|1096109_contig_575_7	-	576	OG48357	-	1115	1.02e-37	123.1	4.2	1	3	1.79e-28	1.68e-26	85.9	0.1	86	476	23	393	12	410	0.90
GVMAG-S-1096109-37|1096109_contig_575_7	-	576	OG48357	-	1115	1.02e-37	123.1	4.2	2	3	7.17e-07	6.74e-05	14.4	0.2	530	620	391	479	388	484	0.90
GVMAG-S-1096109-37|1096109_contig_575_7	-	576	OG48357	-	1115	1.02e-37	123.1	4.2	3	3	1.44e-11	1.36e-09	29.9	0.6	650	720	467	538	464	542	0.90
GVMAG-S-1096109-37|1096109_contig_575_6	-	493	OG48357	-	1115	5.22e-25	81.0	0.1	1	1	1.10e-26	1.04e-24	80.0	0.1	759	975	16	241	9	265	0.90
GVMAG-S-1096109-37|1096109_contig_156_14	-	1029	OG48358	-	683	8.75e-30	96.8	6.1	1	2	1.46e-07	1.37e-05	16.8	1.0	38	253	41	275	11	339	0.90
GVMAG-S-1096109-37|1096109_contig_156_14	-	1029	OG48358	-	683	8.75e-30	96.8	6.1	2	2	5.23e-27	4.91e-25	81.1	0.3	382	601	350	586	341	602	0.90
GVMAG-S-1096109-37|1096109_contig_156_6	-	429	OG48358	-	683	1.97e-05	16.3	0.1	1	1	3.99e-07	3.75e-05	15.4	0.1	24	106	63	149	39	196	0.90
GVMAG-S-1096109-37|1096109_contig_156_24	-	442	OG48359	-	593	3.01e-61	200.9	6.9	1	1	6.63e-63	4.15e-61	200.5	6.9	189	593	45	424	29	425	0.90
GVMAG-S-1096109-37|1096109_contig_1169_5	-	427	OG48359	-	593	3.86e-52	170.9	0.0	1	1	1.92e-53	1.20e-51	169.2	0.0	200	592	55	424	21	426	0.90
GVMAG-S-1096109-37|1096109_contig_802_10	-	250	OG48359	-	593	1.62e+00	0.4	13.8	1	1	3.64e-02	2.28e+00	-0.1	13.8	21	50	146	175	134	234	0.90
GVMAG-S-1096109-37|1096109_contig_460_1	-	582	OG484	-	462	1.51e-209	689.9	3.4	1	2	1.55e-113	2.92e-111	365.8	0.0	3	227	4	236	2	255	0.90
GVMAG-S-1096109-37|1096109_contig_460_1	-	582	OG484	-	462	1.51e-209	689.9	3.4	2	2	1.37e-98	2.58e-96	316.6	1.7	237	463	292	582	273	582	0.90
GVMAG-S-1096109-37|1096109_contig_156_5	-	315	OG4899	-	406	1.75e-18	60.0	8.8	1	2	1.00e-13	1.88e-11	36.9	3.2	66	144	88	166	70	169	0.90
GVMAG-S-1096109-37|1096109_contig_156_5	-	315	OG4899	-	406	1.75e-18	60.0	8.8	2	2	6.16e-10	1.16e-07	24.4	0.9	296	405	170	310	156	312	0.90
GVMAG-S-1096109-37|1096109_contig_156_17	-	363	OG489	-	255	6.32e-31	101.7	3.1	1	1	5.06e-33	9.51e-31	101.1	3.1	2	253	2	312	2	350	0.90
GVMAG-S-1096109-37|1096109_contig_155_4	-	143	OG500	-	171	2.86e-11	37.1	0.3	1	1	3.01e-13	5.66e-11	36.2	0.1	118	171	88	141	66	142	0.90
GVMAG-S-1096109-37|1096109_contig_1169_1	-	342	OG503	-	824	5.90e-13	41.2	7.0	1	2	9.42e-14	5.90e-12	37.9	3.8	138	303	7	158	2	180	0.90
GVMAG-S-1096109-37|1096109_contig_1169_1	-	342	OG503	-	824	5.90e-13	41.2	7.0	2	2	1.52e-02	9.50e-01	0.8	0.1	355	432	173	241	166	257	0.90
GVMAG-S-1096109-37|1096109_contig_156_11	-	116	OG503	-	824	1.93e-12	39.5	5.9	1	1	3.44e-14	2.15e-12	39.3	5.9	604	669	5	78	2	87	0.90
GVMAG-S-1096109-37|1096109_contig_370_5	-	175	OG503	-	824	6.92e-11	34.3	0.4	1	1	1.17e-12	7.30e-11	34.3	0.4	600	650	88	139	45	161	0.90
GVMAG-S-1096109-37|1096109_contig_156_23	-	131	OG5095	-	127	5.69e-08	26.2	0.1	1	1	1.91e-09	7.17e-08	25.9	0.1	18	105	17	105	4	127	0.90
GVMAG-S-1096109-37|1096109_contig_155_16	-	171	OG5095	-	127	2.44e-07	24.1	0.0	1	1	9.04e-09	3.40e-07	23.7	0.0	28	89	85	145	69	153	0.90
GVMAG-S-1096109-37|1096109_contig_153_9	-	184	OG5095	-	127	7.15e-07	22.6	0.1	1	1	2.30e-08	8.64e-07	22.4	0.1	9	112	9	112	2	127	0.90
GVMAG-S-1096109-37|1096109_contig_156_3	-	223	OG5095	-	127	9.15e-05	15.8	0.1	1	1	3.78e-06	1.42e-04	15.2	0.1	35	117	5	82	4	90	0.90
GVMAG-S-1096109-37|1096109_contig_1169_6	-	128	OG5095	-	127	6.73e-04	13.0	0.1	1	1	2.22e-05	8.33e-04	12.7	0.1	21	89	16	83	3	99	0.90
GVMAG-S-1096109-37|1096109_contig_1169_10	-	265	OG5198	-	417	1.23e-28	93.7	6.5	1	2	4.20e-14	3.95e-12	39.3	0.3	182	262	30	111	13	119	0.90
GVMAG-S-1096109-37|1096109_contig_1169_10	-	265	OG5198	-	417	1.23e-28	93.7	6.5	2	2	1.35e-19	1.27e-17	57.4	0.1	264	349	159	245	154	249	0.90
GVMAG-S-1096109-37|1096109_contig_156_19	-	272	OG5198	-	417	8.61e-28	90.9	14.0	1	3	4.20e-14	3.95e-12	39.3	2.2	207	261	60	114	42	120	0.90
GVMAG-S-1096109-37|1096109_contig_156_19	-	272	OG5198	-	417	8.61e-28	90.9	14.0	2	3	1.91e-02	1.79e+00	0.9	0.9	65	103	120	159	116	165	0.90
GVMAG-S-1096109-37|1096109_contig_156_19	-	272	OG5198	-	417	8.61e-28	90.9	14.0	3	3	6.22e-20	5.85e-18	58.5	0.3	264	340	163	243	156	249	0.90
GVMAG-S-1096109-37|1096109_contig_460_2	-	368	OG5208	-	402	1.78e-29	96.6	27.2	1	1	1.87e-31	3.51e-29	95.7	27.2	27	385	5	357	2	363	0.90
GVMAG-S-1096109-37|1096109_contig_155_7	-	224	OG526	-	213	1.69e-74	243.6	9.2	1	1	1.10e-76	2.07e-74	243.3	9.2	3	209	3	221	2	223	0.90
GVMAG-S-1096109-37|1096109_contig_370_5	-	175	OG527	-	132	1.06e-15	51.5	8.1	1	2	4.73e-01	2.96e+01	-1.8	0.0	76	96	36	56	29	79	0.90
GVMAG-S-1096109-37|1096109_contig_370_5	-	175	OG527	-	132	1.06e-15	51.5	8.1	2	2	1.90e-17	1.19e-15	51.3	7.0	5	61	91	149	81	170	0.90
GVMAG-S-1096109-37|1096109_contig_156_11	-	116	OG527	-	132	3.54e-12	40.1	5.7	1	1	7.29e-14	4.57e-12	39.7	5.7	6	80	5	80	2	95	0.90
GVMAG-S-1096109-37|1096109_contig_370_8	-	202	OG527	-	132	6.93e-04	13.2	6.6	1	1	1.66e-05	1.04e-03	12.7	6.6	6	52	3	57	2	81	0.90
GVMAG-S-1096109-37|1096109_contig_1169_10	-	265	OG541	-	255	5.76e-91	297.9	11.9	1	1	6.80e-93	6.40e-91	297.7	11.9	5	256	4	265	2	265	0.90
GVMAG-S-1096109-37|1096109_contig_156_19	-	272	OG541	-	255	4.14e-90	295.0	5.4	1	1	4.84e-92	4.55e-90	294.9	5.4	5	256	8	272	2	272	0.90
GVMAG-S-1096109-37|1096109_contig_153_12	-	331	OG542	-	276	5.79e-108	354.0	8.4	1	1	3.99e-110	7.50e-108	353.6	8.4	2	274	2	273	2	276	0.90
GVMAG-S-1096109-37|1096109_contig_156_26	-	575	OG5658	-	545	1.61e-78	258.2	1.4	1	1	5.53e-80	5.20e-78	256.5	1.4	31	541	39	521	19	525	0.90
GVMAG-S-1096109-37|1096109_contig_1169_3	-	568	OG5658	-	545	9.85e-76	249.0	1.6	1	1	3.80e-77	3.57e-75	247.1	1.6	2	539	2	510	2	516	0.90
GVMAG-S-1096109-37|1096109_contig_460_15	-	142	OG5703	-	127	3.29e-10	33.7	3.3	1	1	2.31e-12	4.34e-10	33.4	3.3	10	125	12	121	5	124	0.90
GVMAG-S-1096109-37|1096109_contig_156_5	-	315	OG581	-	303	2.02e-118	388.6	8.3	1	1	1.24e-120	2.33e-118	388.4	8.3	3	302	6	310	2	312	0.90
GVMAG-S-1096109-37|1096109_contig_153_14	-	227	OG5828	-	433	5.61e+00	-0.8	18.2	1	1	5.15e-02	9.68e+00	-1.6	18.2	104	168	52	114	10	140	0.90
GVMAG-S-1096109-37|1096109_contig_156_14	-	1029	OG5940	-	634	6.69e-22	70.9	0.3	1	2	2.11e-10	3.96e-08	25.4	0.1	42	312	64	373	58	376	0.90
GVMAG-S-1096109-37|1096109_contig_156_14	-	1029	OG5940	-	634	6.69e-22	70.9	0.3	2	2	9.88e-17	1.86e-14	46.3	0.1	322	524	348	564	331	580	0.90
GVMAG-S-1096109-37|1096109_contig_156_14	-	1029	OG5941	-	635	1.10e-22	73.7	0.8	1	3	1.34e-12	2.51e-10	32.9	0.0	35	203	46	227	22	252	0.90
GVMAG-S-1096109-37|1096109_contig_156_14	-	1029	OG5941	-	635	1.10e-22	73.7	0.8	2	3	4.43e-14	8.34e-12	37.8	0.0	364	488	368	495	320	507	0.90
GVMAG-S-1096109-37|1096109_contig_156_14	-	1029	OG5941	-	635	1.10e-22	73.7	0.8	3	3	3.93e-02	7.39e+00	-1.7	0.4	246	284	912	950	900	1005	0.90
GVMAG-S-1096109-37|1096109_contig_153_16	-	1010	OG5942	-	1286	1.23e-66	218.4	0.5	1	1	1.11e-66	6.93e-65	212.6	0.5	4	774	11	863	9	875	0.90
GVMAG-S-1096109-37|1096109_contig_156_24	-	442	OG5942	-	1286	6.26e-17	53.8	4.7	1	1	1.34e-18	8.39e-17	53.3	4.7	897	1259	47	424	42	438	0.90
GVMAG-S-1096109-37|1096109_contig_1169_5	-	427	OG5942	-	1286	2.31e-12	38.6	0.6	1	2	1.80e-08	1.13e-06	19.8	0.0	900	974	49	123	31	131	0.90
GVMAG-S-1096109-37|1096109_contig_1169_5	-	427	OG5942	-	1286	2.31e-12	38.6	0.6	2	2	1.02e-07	6.39e-06	17.3	0.1	1143	1253	305	419	268	424	0.90
GVMAG-S-1096109-37|1096109_contig_575_6	-	493	OG5943	-	1006	3.16e-17	55.0	0.1	1	2	1.06e-08	9.98e-07	20.2	0.0	621	700	14	111	9	122	0.90
GVMAG-S-1096109-37|1096109_contig_575_6	-	493	OG5943	-	1006	3.16e-17	55.0	0.1	2	2	4.29e-12	4.03e-10	31.4	0.0	750	856	124	231	122	258	0.90
GVMAG-S-1096109-37|1096109_contig_575_7	-	576	OG5943	-	1006	6.04e-13	40.8	7.6	1	2	1.32e-06	1.24e-04	13.3	0.1	239	353	275	385	267	403	0.90
GVMAG-S-1096109-37|1096109_contig_575_7	-	576	OG5943	-	1006	6.04e-13	40.8	7.6	2	2	1.47e-11	1.38e-09	29.7	3.3	459	572	422	536	413	540	0.90
GVMAG-S-1096109-37|1096109_contig_155_2	-	259	OG5944	-	278	2.14e-61	201.2	0.0	1	1	1.52e-63	2.86e-61	200.8	0.0	20	237	35	252	28	257	0.90
GVMAG-S-1096109-37|1096109_contig_155_2	-	259	OG5945	-	255	5.93e-10	32.3	0.0	1	1	7.87e-12	7.40e-10	32.0	0.0	21	172	34	182	24	229	0.90
GVMAG-S-1096109-37|1096109_contig_155_22	-	577	OG5945	-	255	2.26e-03	10.8	2.6	1	2	4.91e-04	4.62e-02	6.5	0.1	198	249	24	76	19	82	0.90
GVMAG-S-1096109-37|1096109_contig_155_22	-	577	OG5945	-	255	2.26e-03	10.8	2.6	2	2	3.64e-03	3.42e-01	3.6	0.5	21	49	182	210	167	221	0.90
GVMAG-S-1096109-37|1096109_contig_460_2	-	368	OG5947	-	379	4.09e-28	92.0	8.7	1	1	3.47e-30	6.52e-28	91.4	8.7	57	378	41	366	5	368	0.90
GVMAG-S-1096109-37|1096109_contig_153_15	-	898	OG5952	-	793	1.76e-11	36.4	0.5	1	2	1.77e-02	3.33e+00	-0.9	0.0	64	144	65	147	59	169	0.90
GVMAG-S-1096109-37|1096109_contig_153_15	-	898	OG5952	-	793	1.76e-11	36.4	0.5	2	2	3.75e-13	7.06e-11	34.4	0.2	410	722	521	823	480	838	0.90
GVMAG-S-1096109-37|1096109_contig_155_19	-	131	OG5954	-	97	1.51e-05	18.7	0.0	1	1	2.22e-07	2.09e-05	18.2	0.0	3	52	43	95	42	118	0.90
GVMAG-S-1096109-37|1096109_contig_155_10	-	185	OG5954	-	97	3.83e-05	17.4	0.1	1	1	6.83e-07	6.42e-05	16.7	0.1	2	62	22	85	22	125	0.90
GVMAG-S-1096109-37|1096109_contig_156_6	-	429	OG5958	-	481	3.26e-19	62.4	4.5	1	1	1.36e-20	2.56e-18	59.4	4.5	41	418	45	382	5	389	0.90
GVMAG-S-1096109-37|1096109_contig_155_22	-	577	OG59	-	181	1.35e-33	109.6	2.9	1	1	1.44e-35	2.71e-33	108.6	2.9	4	158	4	159	2	186	0.90
GVMAG-S-1096109-37|1096109_contig_1116_2	-	191	OG6024	-	175	8.58e-06	19.4	1.2	1	1	7.08e-08	1.33e-05	18.8	1.2	17	162	3	157	2	164	0.90
GVMAG-S-1096109-37|1096109_contig_153_12	-	331	OG6034	-	272	1.08e-14	48.1	5.9	1	1	8.34e-17	1.57e-14	47.6	5.9	15	244	58	287	50	321	0.90
GVMAG-S-1096109-37|1096109_contig_155_7	-	224	OG6099	-	153	1.25e-05	18.8	2.6	1	3	3.30e-06	6.21e-04	13.2	0.0	4	35	5	36	3	66	0.90
GVMAG-S-1096109-37|1096109_contig_155_7	-	224	OG6099	-	153	1.25e-05	18.8	2.6	2	3	1.55e-02	2.92e+00	1.3	0.0	51	63	96	108	80	119	0.90
GVMAG-S-1096109-37|1096109_contig_155_7	-	224	OG6099	-	153	1.25e-05	18.8	2.6	3	3	6.05e-03	1.14e+00	2.7	0.3	96	137	177	215	149	223	0.90
GVMAG-S-1096109-37|1096109_contig_1116_16	-	103	OG6258	-	148	1.53e-06	22.1	0.6	1	1	8.89e-09	1.67e-06	22.0	0.6	85	144	45	100	15	102	0.90
GVMAG-S-1096109-37|1096109_contig_155_9	-	340	OG6558	-	340	4.42e-09	29.5	1.4	1	1	3.63e-11	6.82e-09	28.9	1.4	15	62	5	54	3	138	0.90
GVMAG-S-1096109-37|1096109_contig_155_4	-	143	OG6561	-	196	1.86e-09	31.0	0.2	1	1	1.57e-11	2.95e-09	30.4	0.1	136	195	82	141	65	143	0.90
GVMAG-S-1096109-37|1096109_contig_155_23	-	322	OG658	-	280	1.54e-99	326.1	0.4	1	1	9.76e-102	1.83e-99	325.8	0.4	19	280	29	315	8	321	0.90
GVMAG-S-1096109-37|1096109_contig_802_10	-	250	OG6684	-	774	2.85e+00	-0.5	17.1	1	1	2.37e-02	4.46e+00	-1.1	17.1	385	424	140	176	132	190	0.90
GVMAG-S-1096109-37|1096109_contig_153_14	-	227	OG6872	-	293	1.38e+00	1.9	32.0	1	1	2.13e-02	2.00e+00	1.4	32.0	166	258	15	121	10	134	0.90
GVMAG-S-1096109-37|1096109_contig_153_16	-	1010	OG6872	-	293	5.15e+00	0.0	28.0	1	2	8.28e-01	7.79e+01	-3.8	0.7	125	165	122	164	104	183	0.90
GVMAG-S-1096109-37|1096109_contig_153_16	-	1010	OG6872	-	293	5.15e+00	0.0	28.0	2	2	1.08e-03	1.02e-01	5.6	20.7	171	257	921	1001	882	1009	0.90
GVMAG-S-1096109-37|1096109_contig_155_4	-	143	OG6948	-	200	7.71e-09	28.9	3.8	1	2	1.05e-03	1.97e-01	4.7	0.5	13	60	4	57	2	70	0.90
GVMAG-S-1096109-37|1096109_contig_155_4	-	143	OG6948	-	200	7.71e-09	28.9	3.8	2	2	3.51e-10	6.60e-08	25.9	0.2	149	188	102	141	73	143	0.90
GVMAG-S-1096109-37|1096109_contig_370_5	-	175	OG7065	-	186	1.19e-02	8.9	4.3	1	1	9.50e-05	1.79e-02	8.3	4.3	50	89	83	123	33	139	0.90
GVMAG-S-1096109-37|1096109_contig_153_14	-	227	OG7235	-	347	1.66e-01	4.6	34.9	1	1	1.25e-03	2.34e-01	4.1	34.9	21	140	19	125	3	140	0.90
GVMAG-S-1096109-37|1096109_contig_155_4	-	143	OG742	-	140	9.15e-41	133.1	4.1	1	1	5.31e-43	9.99e-41	133.0	4.1	5	139	4	142	2	143	0.90
GVMAG-S-1096109-37|1096109_contig_156_18	-	537	OG762	-	455	2.93e-147	485.0	10.5	1	1	5.29e-149	3.32e-147	484.9	10.5	3	455	5	531	2	532	0.90
GVMAG-S-1096109-37|1096109_contig_1169_11	-	431	OG762	-	455	8.61e-113	371.4	1.3	1	1	1.56e-114	9.79e-113	371.2	1.3	2	360	2	432	2	432	0.90
GVMAG-S-1096109-37|1096109_contig_575_5	-	249	OG762	-	455	1.53e-12	41.0	0.5	1	1	2.88e-14	1.80e-12	40.7	0.5	305	429	106	238	34	246	0.90
GVMAG-S-1096109-37|1096109_contig_153_10	-	101	OG769	-	108	7.32e-30	96.9	1.3	1	1	4.26e-32	8.01e-30	96.8	1.3	3	97	4	97	3	101	0.90
