marker_id	majority_annotation	majority_count	total_proteins
OG160	Metallo-dependent phosphatase-like [PFAM:Calcineurin-like phosphoesterase]	6	10
OG1612	Tyrosine-tRNA ligase [PFAM:tRNA synthetases class I (W and Y)]	48	151
OG1614	Poxvirus VLTF3, late transcription factor [PFAM:Poxvirus Late Transcription Factor VLTF3 like]	23	26
OG1616	YqaJ viral recombinase [PFAM:YqaJ-like viral recombinase domain]	4	10
OG1617	consensus disorder prediction	12	12
OG1619	Coil	2	2
OG162	P-loop containing nucleoside triphosphate hydrolase [PFAM:Helicase conserved C-terminal domain;SNF2-related domain]	6	18
OG16218	Zinc finger, RING-type	5	15
OG1628	Tryptophan synthase beta chain-like, PALP domain superfamily [PFAM:C-terminal regulatory domain of Threonine dehydratase;Pyridoxal-phosphate dependent enzyme]	213	991
OG16283	consensus disorder prediction	4	5
OG16307	consensus disorder prediction	4	4
OG1632	NUDIX hydrolase-like domain superfamily	39	49
OG16323	Phosphatidic acid phosphatase type 2/haloperoxidase superfamily	24	156
OG1633	Short-chain dehydrogenase/reductase SDR [PFAM:Enoyl-(Acyl carrier protein) reductase]	46	174
OG16389	consensus disorder prediction	1	1
OG1645	consensus disorder prediction	8	13
OG1650	Coil	2	3
OG1653	dUTPase-like superfamily [PFAM:dUTPase]	16	16
OG1657	DNA clamp superfamily [PFAM:Proliferating cell nuclear antigen, N-terminal domain]	5	13
OG166	Deoxyuridine triphosphate nucleotidohydrolase [PFAM:dUTPase]	256	917
OG16610	Holliday junction resolvase RusA-like superfamily [PFAM:Endodeoxyribonuclease RusA]	5	5
OG1662	Stealth family [PFAM:Stealth protein CR2, conserved region 2]	3	6
OG1676	Poly(A) polymerase catalytic subunit [PFAM:Poly(A) polymerase catalytic subunit]	23	25
OG16761	Protein FRG1 [PFAM:FRG1-like domain;Glycine-rich domain]	2	4
OG16826	NTF2-like domain superfamily	3	3
OG1684	Papain-like cysteine peptidase superfamily [PFAM:Ubiquitin carboxyl-terminal hydrolase]	6	15
OG16858	Papain-like cysteine peptidase superfamily	6	7
OG16863	consensus disorder prediction	3	4
OG169	XPG/Rad2 endonuclease [PFAM:XPG I-region;XPG N-terminal domain]	35	37
OG16952	Protein of unknown function DUF5843 [PFAM:Family of unknown function (DUF5843)]	3	3
OG17001	Calycin [PFAM:Lipocalin-like domain]	4	4
OG1707	Ulp1 protease family, C-terminal catalytic domain [PFAM:Ulp1 protease family, C-terminal catalytic domain]	12	20
OG1709	consensus disorder prediction	5	5
OG1710	Cyclin-like superfamily	2	6
OG17215	consensus disorder prediction	1	1
OG17239	Family of unknown function DUF5654 [PFAM:Family of unknown function (DUF5654)]	4	4
OG1724	consensus disorder prediction	6	8
OG17408	Coil	1	1
OG17458	Coil	2	2
OG1758	consensus disorder prediction	6	7
OG17736	P-loop containing nucleoside triphosphate hydrolase [PFAM:Zeta toxin]	4	4
OG17892	mRNA capping enzyme, adenylation domain [PFAM:mRNA capping enzyme, catalytic domain]	3	3
OG179	Phytanoyl-CoA dioxygenase-like [PFAM:Phytanoyl-CoA dioxygenase (PhyH)]	5	8
OG1793	Peptidase M12A [PFAM:Astacin (Peptidase family M12A)]	21	34
OG17983	consensus disorder prediction	2	3
OG1804	consensus disorder prediction	12	14
OG1821	consensus disorder prediction	15	25
OG18230	S-adenosyl-L-methionine-dependent methyltransferase superfamily [PFAM:Methyltransferase domain]	4	5
OG183	GxxExxY protein [PFAM:PD-(D/E)XK nuclease superfamily]	146	188
OG18309	3'-5' exonuclease domain [PFAM:3'-5' exonuclease]	7	7
OG1831	DNA ligase, ATP-dependent, central [PFAM:ATP dependent DNA ligase domain]	14	14
OG18495	Ulp1 protease family, C-terminal catalytic domain [PFAM:Ulp1 protease family, C-terminal catalytic domain]	5	7
OG18573	Cupredoxin	1	2
OG186	Protein of unknown function DUF5832 [PFAM:Family of unknown function (DUF5832)]	28	28
OG1860	Coil	21	24
OG1866	FCP1 homology domain [PFAM:NLI interacting factor-like phosphatase]	92	93
OG18691	consensus disorder prediction	4	5
OG18693	Histidine phosphatase superfamily, clade-1 [PFAM:Histidine phosphatase superfamily (branch 1)]	5	5
OG18777	P-loop containing nucleoside triphosphate hydrolase	8	8
OG18784	DNA-directed DNA polymerase, family B, multifunctional domain [PFAM:DNA polymerase family B;DNA polymerase family B, exonuclease domain]	2	4
OG18883	Ankyrin repeat [PFAM:Ankyrin repeat;Ankyrin repeats (3 copies);Ankyrin repeats (many copies)]	37	122
OG18888	consensus disorder prediction	4	4
OG1891	Peptidase S8, subtilisin-related [PFAM:Peptidase inhibitor I9;Subtilase family]	821	2377
OG18919	Coil	2	4
OG1895	DNA polymerase family X [PFAM:ATP dependent DNA ligase domain;DNA ligase OB-like domain;DNA polymerase beta palm;DNA polymerase beta thumb;Fingers domain of DNA polymerase lambda;Helix-hairpin-helix domain]	34	42
OG19	Helicase, C-terminal [PFAM:DEAD/DEAH box helicase;DSHCT (NUC185) domain;Helicase conserved C-terminal domain]	3	7
OG19001	P-loop containing nucleoside triphosphate hydrolase [PFAM:ATPase family associated with various cellular activities (AAA)]	5	6
OG19017	Protein kinase domain [PFAM:Protein kinase domain]	6	6
OG19064	Alpha/Beta hydrolase fold [PFAM:alpha/beta hydrolase fold]	6	6
OG19084	consensus disorder prediction	5	5
OG19134	Poly(A) polymerase catalytic subunit [PFAM:Poly(A) polymerase catalytic subunit]	2	2
OG19244	ADP-ribosylation	2	3
OG19353	consensus disorder prediction	1	1
OG1942	DNA-directed RNA polymerase M, 15kDa subunit, conserved site	2	7
OG1943	Coil	3	4
OG19455	Ribosomal RNA methyltransferase, FtsJ domain [PFAM:FtsJ-like methyltransferase]	8	9
OG19528	Zinc finger C2H2-type	1	3
OG1962	consensus disorder prediction	15	26
OG197	Nucleotide-diphospho-sugar transferases	18	20
OG19735	consensus disorder prediction	5	6
OG19738	Glycine-rich domain [PFAM:FRG1-like domain;Glycine-rich domain]	2	3
OG19740	consensus disorder prediction	4	4
OG19741	consensus disorder prediction	7	9
OG19749	Ankyrin repeat [PFAM:Ankyrin repeats (3 copies);Ankyrin repeats (many copies)]	10	25
OG19766	consensus disorder prediction	5	5
OG1978	Protein of unknown function DUF5767 [PFAM:Family of unknown function (DUF5767)]	13	14
OG19822	Coil	2	2
OG19920	Serine-threonine/tyrosine-protein kinase, catalytic domain [PFAM:Adenylate and Guanylate cyclase catalytic domain;Protein tyrosine and serine/threonine kinase]	2	6
OG19922	Uncharacterised protein family, LppY/LpqO [PFAM:Domain of Unknown Function (DUF1259)]	3	3
OG19923	consensus disorder prediction	1	1
OG19924	Ankyrin repeat-containing domain superfamily	4	4
OG19925	consensus disorder prediction	3	3
OG19926	consensus disorder prediction	2	2
OG19927	SKP1/BTB/POZ domain superfamily [PFAM:BTB/POZ domain]	4	4
OG19928	F-box-like domain superfamily	3	4
OG19929	ANKYRIN REPEAT-CONTAINING PROTEIN	3	4
OG19930	consensus disorder prediction	3	3
OG19931	consensus disorder prediction	6	6
OG19932	consensus disorder prediction	4	4
OG19933	consensus disorder prediction	3	3
OG19934	Domain of unknown function DUF5848 [PFAM:Family of unknown function (DUF5848)]	3	3
OG19935	consensus disorder prediction	6	6
OG19936	consensus disorder prediction	4	4
OG19937	consensus disorder prediction	1	1
OG19938	consensus disorder prediction	3	3
OG19939	Alpha/Beta hydrolase fold	2	5
OG19940	Ankyrin repeat [PFAM:Ankyrin repeat;Ankyrin repeats (3 copies);Ankyrin repeats (many copies)]	45	139
OG19941	consensus disorder prediction	2	2
OG19942	consensus disorder prediction	3	3
OG19943	F-box-like domain superfamily	2	4
OG19944	consensus disorder prediction	3	3
OG19945	WD40/YVTN repeat-like-containing domain superfamily	3	3
OG19946	Protein of unknown function DUF6081 [PFAM:Family of unknown function (DUF6081)]	2	2
OG19948	consensus disorder prediction	7	7
OG19949	DNA polymerase III, clamp loader complex, gamma/delta/delta subunit, C-terminal	3	4
OG19950	P-loop containing nucleoside triphosphate hydrolase [PFAM:Helicase conserved C-terminal domain;SNF2-related domain]	3	4
OG19951	consensus disorder prediction	2	2
OG19952	Coil	3	6
OG19953	consensus disorder prediction	3	3
OG19954	consensus disorder prediction	2	2
OG19955	P-loop containing nucleoside triphosphate hydrolase [PFAM:Type III restriction enzyme, res subunit]	2	2
OG19956	consensus disorder prediction	3	5
OG19957	F-box-like domain superfamily	1	2
OG19958	consensus disorder prediction	3	3
OG19959	Poxvirus VLTF3, late transcription factor [PFAM:Poxvirus Late Transcription Factor VLTF3 like]	3	3
OG19960	consensus disorder prediction	4	4
OG19961	consensus disorder prediction	5	5
OG19962	P-loop containing nucleoside triphosphate hydrolase [PFAM:D5 N terminal like;Family of unknown function (DUF5906)]	2	3
OG19963	consensus disorder prediction	7	7
OG19964	consensus disorder prediction	3	3
OG19965	Ribonuclease H superfamily	2	4
OG19966	consensus disorder prediction	3	5
OG19967	BTB/POZ domain	1	2
OG19968	RPB5-like RNA polymerase subunit superfamily [PFAM:RNA polymerase Rpb5, C-terminal domain]	3	3
OG19970	Domain of unknown function DUF5898 [PFAM:Family of unknown function (DUF5898)]	6	6
OG19971	E3 ubiquitin-protein ligase TTC3/DZIP3 domain [PFAM:E3 ubiquitin-protein ligase TTC3/DZIP3 domain]	5	7
OG19972	P-loop containing nucleoside triphosphate hydrolase [PFAM:DNA helicase Pif1, 2B domain;PIF1-like helicase]	3	3
OG19973	Thioredoxin domain	2	2
OG19974	ERV/ALR sulfhydryl oxidase domain superfamily	3	3
OG19975	Protein kinase-like domain superfamily	2	2
OG19976	consensus disorder prediction	2	2
OG19977	consensus disorder prediction	2	2
OG19978	consensus disorder prediction	3	3
OG19979	JmjC domain [PFAM:Cupin-like domain]	3	4
OG19980	Ankyrin repeat-containing domain superfamily	2	2
OG19981	consensus disorder prediction	1	1
OG19982	FAD/NAD(P)-binding domain superfamily [PFAM:NAD(P)-binding Rossmann-like domain]	1	1
OG19983	consensus disorder prediction	7	7
OG19984	consensus disorder prediction	3	3
OG19985	F-box-like domain superfamily	1	2
OG19986	consensus disorder prediction	5	5
OG19987	MORN repeat [PFAM:F-box-like;MORN repeat]	4	6
OG19988	consensus disorder prediction	5	5
OG19989	Domain of unknown function DUF5878 [PFAM:Family of unknown function (DUF5878)]	3	5
OG19990	F-box domain [PFAM:F-box-like]	6	7
OG19991	RutC-like superfamily [PFAM:Endoribonuclease L-PSP]	4	4
OG19992	Ankyrin repeat [PFAM:Ankyrin repeat;Ankyrin repeats (3 copies);Ankyrin repeats (many copies)]	1	4
OG19993	Domain of unknown function DUF5900 [PFAM:Family of unknown function (DUF5900)]	6	6
OG19994	Ankyrin repeat-containing domain superfamily	2	4
OG19995	consensus disorder prediction	1	1
OG19996	Metal-dependent hydrolase, composite domain superfamily [PFAM:Amidohydrolase family]	4	6
OG19997	Protein of unknown function DUF5768 [PFAM:Family of unknown function (DUF5768)]	6	6
OG19999	consensus disorder prediction	5	5
OG2	Proliferating cell nuclear antigen, PCNA [PFAM:Proliferating cell nuclear antigen, C-terminal domain;Proliferating cell nuclear antigen, N-terminal domain]	18	18
OG20000	consensus disorder prediction	4	4
OG20003	consensus disorder prediction	2	2
OG20004	Thioredoxin domain [PFAM:Thioredoxin]	1	1
OG20005	Protein of unknown function DUF5885 [PFAM:Family of unknown function (DUF5885)]	3	3
OG20007	consensus disorder prediction	3	3
OG20008	Protein of unknown function DUF5870 [PFAM:Family of unknown function (DUF5870)]	3	3
OG20012	Protein of unknown function DUF2935	5	5
OG20014	5'-Nucleotidase/apyrase [PFAM:5'-nucleotidase, C-terminal domain]	4	4
OG20015	Protein kinase domain [PFAM:Protein kinase domain]	3	4
OG20017	F-box domain [PFAM:F-box-like]	4	5
OG20018	P-loop containing nucleoside triphosphate hydrolase	2	6
OG20019	MORN repeat [PFAM:MORN repeat]	3	6
OG20020	consensus disorder prediction	3	3
OG20021	Ankyrin repeat-containing domain superfamily	4	4
OG20037	consensus disorder prediction	5	5
OG20052	F-box domain [PFAM:F-box-like]	4	4
OG20056	Family of unknown function DUF5690 [PFAM:Family of unknown function (DUF5690)]	3	4
OG20062	consensus disorder prediction	3	3
OG20069	consensus disorder prediction	2	2
OG20084	consensus disorder prediction	3	4
OG20086	consensus disorder prediction	8	8
OG20091	consensus disorder prediction	1	1
OG20093	consensus disorder prediction	9	9
OG20094	S-adenosyl-L-methionine-dependent methyltransferase superfamily [PFAM:mRNA (guanine-N(7))-methyltransferase domain]	4	5
OG201	PD-(D/E)XK endonuclease-like domain superfamily [PFAM:YqaJ-like viral recombinase domain]	12	44
OG20106	F-box domain [PFAM:F-box-like]	4	5
OG20143	RmlC-like cupin domain superfamily	2	6
OG20145	Ribonuclease H superfamily	5	6
OG20155	Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase, C-terminal [PFAM:Glutamate/Leucine/Phenylalanine/Valine dehydrogenase]	2	3
OG20170	consensus disorder prediction	5	5
OG20185	consensus disorder prediction	4	4
OG20186	Dyp-type peroxidase [PFAM:Dyp-type peroxidase, C-terminal;Dyp-type peroxidase, N-terminal]	4	4
OG20187	P-loop containing nucleoside triphosphate hydrolase [PFAM:Helicase conserved C-terminal domain;Type III restriction enzyme, res subunit]	6	10
OG20192	Pectin lyase fold/virulence factor	1	2
OG20195	Family of unknown function DUF5690 [PFAM:Family of unknown function (DUF5690)]	3	3
OG20196	Ankyrin repeat [PFAM:Ankyrin repeats (3 copies);Ankyrin repeats (many copies)]	5	19
OG20207	consensus disorder prediction	2	3
OG20212	consensus disorder prediction	6	6
OG20230	Peptidase C1A, papain C-terminal [PFAM:Papain family cysteine protease]	2	2
OG20243	Zinc finger, RING/FYVE/PHD-type	4	7
OG20289	consensus disorder prediction	6	6
OG20290	Group II dsDNA virus coat/capsid protein [PFAM:Major capsid protein N-terminus]	3	8
OG20294	consensus disorder prediction	4	4
OG203	Holliday junction resolvase, A22 [PFAM:Poxvirus A22 protein]	13	33
OG20314	consensus disorder prediction	5	5
OG20315	consensus disorder prediction	4	5
OG20320	consensus disorder prediction	7	7
OG20330	consensus disorder prediction	3	4
OG20331	Ankyrin repeat [PFAM:Ankyrin repeat;Ankyrin repeats (3 copies);Ankyrin repeats (many copies)]	108	430
OG20337	consensus disorder prediction	5	5
OG20338	NUDIX hydrolase domain [PFAM:NUDIX domain]	3	7
OG20339	consensus disorder prediction	6	7
OG20373	consensus disorder prediction	1	1
OG20382	consensus disorder prediction	4	4
OG20392	Zinc finger, CCHC-type superfamily	3	5
OG20400	consensus disorder prediction	6	6
OG20408	Thioredoxin-like superfamily	4	6
OG20411	Coil	2	3
OG20427	F-box domain [PFAM:F-box-like]	2	4
OG2049	Nucleotide-diphospho-sugar transferases [PFAM:Glycosyl transferase family 2]	8	8
OG205	Coil	1	2
OG20505	consensus disorder prediction	2	2
OG20522	consensus disorder prediction	3	3
OG20523	Protein kinase domain [PFAM:PBP superfamily domain;Protein kinase domain;Protein tyrosine and serine/threonine kinase]	1	3
OG20535	consensus disorder prediction	2	2
OG20545	P-loop containing nucleoside triphosphate hydrolase [PFAM:ATPase family associated with various cellular activities (AAA)]	4	4
OG20556	consensus disorder prediction	4	4
OG20557	RPB5-like RNA polymerase subunit superfamily [PFAM:RNA polymerase Rpb5, C-terminal domain]	6	7
OG20575	consensus disorder prediction	6	7
OG20580	consensus disorder prediction	7	7
OG206	Nucleic acid-binding, OB-fold [PFAM:mRNA capping enzyme, C-terminal domain;mRNA capping enzyme, catalytic domain]	49	108
OG20607	Ankyrin repeat-containing domain superfamily [PFAM:Ankyrin repeats (3 copies);F-box-like]	4	10
OG2064	Coil	1	2
OG20641	consensus disorder prediction	2	2
OG20692	Protein of unknown function DUF5849 [PFAM:Family of unknown function (DUF5849)]	3	3
OG2070	Zinc finger, RING-type [PFAM:Ring finger domain]	4	5
OG20703	consensus disorder prediction	7	7
OG20705	consensus disorder prediction	3	6
OG20775	Protein of unknown function DUF5849 [PFAM:Family of unknown function (DUF5849)]	5	5
OG20781	consensus disorder prediction	4	4
OG20815	Uracil-DNA glycosylase family 1 [PFAM:Uracil DNA glycosylase superfamily]	5	5
OG20843	consensus disorder prediction	5	5
OG20844	Coil	2	4
OG20848	consensus disorder prediction	5	5
OG20849	consensus disorder prediction	3	4
OG20851	Papain-like cysteine peptidase superfamily	5	6
OG20858	consensus disorder prediction	8	8
OG2088	Coil	2	3
OG20880	F-box-like domain superfamily	1	2
OG209	P-loop containing nucleoside triphosphate hydrolase [PFAM:Family of unknown function (DUF5906)]	46	74
OG21	Heat shock protein 70, conserved site [PFAM:Hsp70 protein]	154	891
OG210	GIY-YIG endonuclease superfamily [PFAM:GIY-YIG catalytic domain]	5	6
OG21040	consensus disorder prediction	6	6
OG21042	Endonuclease/exonuclease/phosphatase superfamily [PFAM:Endonuclease/Exonuclease/phosphatase family]	3	3
OG21100	consensus disorder prediction	4	4
OG2111	consensus disorder prediction	3	4
OG21152	consensus disorder prediction	7	7
OG21182	consensus disorder prediction	1	1
OG21215	consensus disorder prediction	3	4
OG21226	RPB5-like RNA polymerase subunit superfamily [PFAM:RNA polymerase Rpb5, C-terminal domain]	8	8
OG21233	P-loop containing nucleoside triphosphate hydrolase [PFAM:Type III restriction enzyme, res subunit]	3	3
OG21238	consensus disorder prediction	6	6
OG21239	XPG/Rad2 endonuclease [PFAM:XPG I-region;XPG N-terminal domain]	8	9
OG21249	consensus disorder prediction	7	7
OG21366	Ubiquitin-activating enzyme E1, FCCH domain superfamily	4	6
OG21395	Protein of unknown function DUF5885 [PFAM:Family of unknown function (DUF5885)]	3	3
OG21401	Protein kinase domain [PFAM:Protein kinase domain]	9	9
OG21402	consensus disorder prediction	2	2
OG21403	Histidine acid phosphatase active site	1	2
OG21421	F-box-like domain superfamily	2	4
OG21453	Lambda repressor-like, DNA-binding domain superfamily	3	4
OG21476	MORN repeat [PFAM:MORN repeat]	14	35
OG21573	Poxvirus VLTF3, late transcription factor [PFAM:Poxvirus Late Transcription Factor VLTF3 like]	7	7
OG21575	consensus disorder prediction	5	5
OG21576	consensus disorder prediction	6	6
OG21577	SKP1/BTB/POZ domain superfamily	2	2
OG21578	consensus disorder prediction	1	1
OG21579	consensus disorder prediction	3	3
OG21580	consensus disorder prediction	3	3
OG21581	HNH nuclease	3	5
OG21582	consensus disorder prediction	4	4
OG21583	Domain of unknown function DUF5848 [PFAM:Family of unknown function (DUF5848)]	3	4
OG21584	consensus disorder prediction	5	5
OG21585	Domain of unknown function DUF5878 [PFAM:Family of unknown function (DUF5878)]	3	3
OG21586	F-box-like domain superfamily	1	2
OG21587	MORN repeat [PFAM:MORN repeat]	8	9
OG21588	F-box-like domain superfamily	2	2
OG21589	NTF2-like domain superfamily	4	5
OG21590	Protein kinase-like domain superfamily	1	2
OG21591	consensus disorder prediction	4	4
OG21592	consensus disorder prediction	6	6
OG21593	F-box domain [PFAM:F-box-like;Pentapeptide repeats (8 copies)]	1	4
OG21594	consensus disorder prediction	3	4
OG21595	F-box_SF	1	2
OG21596	PPM-type phosphatase-like domain [PFAM:Protein phosphatase 2C]	5	5
OG21597	consensus disorder prediction	2	3
OG21598	consensus disorder prediction	3	3
OG21599	consensus disorder prediction	3	3
OG21600	consensus disorder prediction	4	4
OG21601	Dihydroneopterin aldolase/epimerase domain [PFAM:Dihydroneopterin aldolase]	5	5
OG21603	consensus disorder prediction	5	5
OG21604	SKP1/BTB/POZ domain superfamily	4	4
OG21605	consensus disorder prediction	3	3
OG21624	consensus disorder prediction	4	4
OG21625	consensus disorder prediction	1	1
OG21626	consensus disorder prediction	4	4
OG21647	Ankyrin repeat-containing domain superfamily	3	3
OG21648	Phosphoribosyltransferase-like [PFAM:Phosphoribosyl transferase domain]	4	5
OG21649	consensus disorder prediction	3	4
OG21650	7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK [PFAM:7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK);Pterin binding enzyme]	3	4
OG21651	Anthranilate synthase component I-like [PFAM:Amino-transferase class IV;Anthranilate synthase component I, N terminal region;Glutamine amidotransferase class-I;chorismate binding enzyme]	2	2
OG2166	ERCC4 domain [PFAM:ERCC4 domain]	11	17
OG21665	F-box-like domain superfamily	3	4
OG21666	consensus disorder prediction	2	2
OG21667	consensus disorder prediction	3	6
OG21668	consensus disorder prediction	8	8
OG21669	F-box domain	3	4
OG21670	Ankyrin repeat-containing domain superfamily	3	5
OG21671	P-loop containing nucleoside triphosphate hydrolase [PFAM:ATPase family associated with various cellular activities (AAA)]	3	3
OG21672	Helicase, C-terminal [PFAM:Helicase conserved C-terminal domain;SNF2-related domain]	3	4
OG21673	Zn-dependent exopeptidases	1	1
OG21674	Glycosyltransferase, GlcNAc [PFAM:Glycosyltransferase (GlcNAc)]	3	3
OG21675	consensus disorder prediction	4	4
OG21676	consensus disorder prediction	1	1
OG21677	consensus disorder prediction	4	4
OG21678	Ankyrin repeat-containing domain superfamily	1	2
OG21679	Peptidase C1A, papain C-terminal [PFAM:Papain family cysteine protease]	4	6
OG21680	consensus disorder prediction	4	4
OG21681	consensus disorder prediction	1	1
OG21682	consensus disorder prediction	4	5
OG21683	consensus disorder prediction	3	3
OG21684	Ankyrin repeat-containing domain superfamily	5	6
OG21687	consensus disorder prediction	4	5
OG21693	Ribonuclease H-like superfamily [PFAM:Caulimovirus viroplasmin]	1	2
OG21696	P-loop containing nucleoside triphosphate hydrolase	2	2
OG21707	consensus disorder prediction	4	5
OG21709	Protein of unknown function DUF5849 [PFAM:Family of unknown function (DUF5849)]	6	6
OG21728	Serine-threonine/tyrosine-protein kinase, catalytic domain [PFAM:Adenylate and Guanylate cyclase catalytic domain;Protein tyrosine and serine/threonine kinase]	3	5
OG21744	Protein of unknown function DUF3592 [PFAM:Protein of unknown function (DUF3592)]	4	5
OG21760	consensus disorder prediction	5	5
OG21787	Lipid desaturase domain [PFAM:Lipid desaturase domain]	3	3
OG21808	consensus disorder prediction	2	2
OG21820	von Willebrand factor A-like domain superfamily	3	4
OG21826	Zinc finger, RING/FYVE/PHD-type	3	3
OG21832	consensus disorder prediction	2	2
OG21840	Cytochrome P450 [PFAM:Cytochrome P450]	1	2
OG21842	Collagen triple helix repeat [PFAM:Collagen triple helix repeat (20 copies)]	2	3
OG21855	GTP cyclohydrolase I [PFAM:GTP cyclohydrolase I]	51	256
OG21861	F-box domain [PFAM:F-box-like;Pentapeptide repeats (8 copies)]	5	9
OG219	mRNA capping enzyme, adenylation domain [PFAM:mRNA capping enzyme, catalytic domain]	42	81
OG21938	Protein of unknown function DUF5843 [PFAM:Family of unknown function (DUF5843)]	4	5
OG21959	consensus disorder prediction	7	7
OG21964	consensus disorder prediction	4	4
OG21983	UPF0759 superfamily [PFAM:Protein of unknown function DUF72;Ubiquitin carboxyl-terminal hydrolase]	5	9
OG21990	consensus disorder prediction	2	3
OG21991	consensus disorder prediction	3	3
OG21992	Tumour necrosis factor-like domain superfamily [PFAM:Collagen triple helix repeat (20 copies)]	1	2
OG21995	Ankyrin repeat-containing domain superfamily	3	4
OG220	S-adenosyl-L-methionine-dependent methyltransferase superfamily [PFAM:RNA cap guanine-N2 methyltransferase]	4	4
OG22038	consensus disorder prediction	4	7
OG22051	P-loop containing nucleoside triphosphate hydrolase [PFAM:Helicase conserved C-terminal domain;RNA cap guanine-N2 methyltransferase;SNF2-related domain]	2	5
OG22053	consensus disorder prediction	7	7
OG22091	consensus disorder prediction	3	4
OG22167	Domain of unknown function DUF5848 [PFAM:Family of unknown function (DUF5848)]	1	2
OG22168	Glutathione synthetase ATP-binding domain-like	2	4
OG2217	Protein kinase domain [PFAM:Protein kinase domain]	177	268
OG22203	P-loop containing nucleoside triphosphate hydrolase [PFAM:ATPase family associated with various cellular activities (AAA);BCS1 N terminal]	2	3
OG22204	consensus disorder prediction	1	1
OG22217	consensus disorder prediction	7	7
OG22235	consensus disorder prediction	1	1
OG22269	consensus disorder prediction	7	7
OG22301	NUDIX hydrolase-like domain superfamily	4	4
OG22305	consensus disorder prediction	6	6
OG22324	F-box-like domain superfamily	5	5
OG22371	consensus disorder prediction	5	5
OG22372	consensus disorder prediction	1	1
OG224	Formamidopyrimidine-DNA glycosylase, catalytic domain [PFAM:Formamidopyrimidine-DNA glycosylase C-terminal domain;Formamidopyrimidine-DNA glycosylase H2TH domain;Formamidopyrimidine-DNA glycosylase N-terminal domain]	10	15
OG22412	consensus disorder prediction	6	6
OG22420	Campylobacter phage CGC-2007, Cje0229 [PFAM:Protein of unknown function (DUF1353)]	1	1
OG22424	Protein of unknown function DUF3592 [PFAM:Protein of unknown function (DUF3592)]	2	3
OG22439	Domain of unknown function DUF4326 [PFAM:Domain of unknown function (DUF4326)]	4	4
OG22440	consensus disorder prediction	4	4
OG22441	consensus disorder prediction	6	6
OG22563	consensus disorder prediction	3	4
OG22565	Papain-like cysteine peptidase superfamily	4	5
OG22644	consensus disorder prediction	2	2
OG22671	consensus disorder prediction	4	4
OG2284	P-loop containing nucleoside triphosphate hydrolase [PFAM:DEAD/DEAH box helicase;Helicase conserved C-terminal domain]	16	51
OG22882	SKP1/BTB/POZ domain superfamily [PFAM:ICP0-binding domain of Ubiquitin-specific protease 7]	3	5
OG22888	consensus disorder prediction	5	7
OG22976	consensus disorder prediction	2	2
OG23010	Pectin lyase fold/virulence factor	1	2
OG23025	Dihydrofolate reductase domain [PFAM:Dihydrofolate reductase]	4	4
OG2307	Glutaredoxin	1	3
OG23116	Protein of unknown function DUF2283 [PFAM:Protein of unknown function (DUF2283)]	9	10
OG23120	2-cysteine adaptor [PFAM:2-cysteine adaptor domain]	2	2
OG23150	Thioredoxin-like superfamily	2	2
OG232	consensus disorder prediction	6	7
OG2337	CDAN1-interacting nuclease 1 [PFAM:Protein of unknown function TPD sequence-motif]	26	32
OG23417	consensus disorder prediction	3	3
OG23459	Family of unknown function DUF5690 [PFAM:Family of unknown function (DUF5690)]	2	2
OG23493	consensus disorder prediction	5	5
OG23494	FAD/NAD(P)-binding domain superfamily [PFAM:GMC oxidoreductase]	1	2
OG23495	consensus disorder prediction	4	4
OG235	DNA topoisomerase I [PFAM:Bacterial DNA topoisomerase IB, N-terminal domain;Eukaryotic DNA topoisomerase I, catalytic core]	441	817
OG2350	RPB5-like RNA polymerase subunit superfamily [PFAM:RNA polymerase Rpb5, C-terminal domain]	7	7
OG23517	ERV/ALR sulfhydryl oxidase domain superfamily [PFAM:Erv1 / Alr family]	4	7
OG23522	consensus disorder prediction	3	3
OG23523	consensus disorder prediction	5	5
OG23524	Actin-crosslinking	4	5
OG23525	Domain of unknown function DUF5848 [PFAM:Family of unknown function (DUF5848)]	4	4
OG23526	consensus disorder prediction	3	3
OG23527	RmlC-like cupin domain superfamily [PFAM:Cupin domain]	2	2
OG23528	consensus disorder prediction	1	1
OG23529	consensus disorder prediction	2	2
OG23530	consensus disorder prediction	6	6
OG23531	Protein kinase-like domain superfamily [PFAM:ABC1 atypical kinase-like domain]	2	3
OG23532	Zinc finger, GRF-type	2	3
OG23533	Ankyrin repeat-containing domain superfamily	5	5
OG23534	MORN repeat [PFAM:MORN repeat]	5	11
OG23535	BTB/POZ domain	3	4
OG23536	S-adenosyl-L-methionine-dependent methyltransferase superfamily [PFAM:Methyltransferase domain]	2	2
OG23537	F420, menaquinone cofactor biosynthesis	3	3
OG23541	consensus disorder prediction	6	6
OG23546	consensus disorder prediction	1	1
OG23547	FAD/NAD(P)-binding domain superfamily [PFAM:GMC oxidoreductase]	4	4
OG23553	Helicase, C-terminal [PFAM:Helicase conserved C-terminal domain;SNF2-related domain]	7	9
OG23565	consensus disorder prediction	4	4
OG23566	Domain of unknown function DUF5848 [PFAM:Family of unknown function (DUF5848)]	4	5
OG23568	consensus disorder prediction	2	2
OG23569	consensus disorder prediction	2	2
